user_id,full_name,email,balance,registration_date,account_status
1,User 1,user1@example.com,3215.16,2025-01-13,Active
2,User 2,user2@example.com,3720.67,2025-05-06,Active
3,User 3,user3@example.com,1154.89,2026-01-13,Active
4,User 4,user4@example.com,557.35,2026-01-15,Active
5,User 5,user5@example.com,4466.29,2025-02-14,Active
6,User 6,user6@example.com,2972.94,2025-01-17,Active
7,User 7,user7@example.com,197.5,2025-04-22,Active
8,User 8,user8@example.com,1201.67,2025-11-05,Active
9,User 9,user9@example.com,181.35,2025-04-12,Active
10,User 10,user10@example.com,3594.3,2025-12-26,Active
11,User 11,user11@example.com,2747.46,2025-04-23,Active
12,User 12,user12@example.com,2273.58,2025-05-23,Active
13,User 13,user13@example.com,4056.68,2025-01-04,Active
14,User 14,user14@example.com,3806.1,2025-03-23,Active
15,User 15,user15@example.com,3505.79,2025-06-24,Active
16,User 16,user16@example.com,1425.46,2025-04-21,Active
17,User 17,user17@example.com,4788.2,2025-06-22,Active
18,User 18,user18@example.com,555.94,2025-07-14,Active
19,User 19,user19@example.com,528.75,2026-03-10,Active
20,User 20,user20@example.com,1752.58,2025-05-16,Active
21,User 21,user21@example.com,4045.28,2026-01-09,Active
22,User 22,user22@example.com,2324.15,2025-03-05,Active
23,User 23,user23@example.com,4866.92,2025-07-13,Active
24,User 24,user24@example.com,440.06,2025-05-31,Active
25,User 25,user25@example.com,4155.55,2025-11-13,Active
26,User 26,user26@example.com,4432.99,2025-07-05,Active
27,User 27,user27@example.com,2907.89,2025-12-27,Active
28,User 28,user28@example.com,394.3,2025-12-05,Active
29,User 29,user29@example.com,1178.1,2025-05-29,Active
30,User 30,user30@example.com,4926.85,2026-03-14,Active
31,User 31,user31@example.com,1202.31,2025-02-21,Active
32,User 32,user32@example.com,1931.62,2025-08-21,Active
33,User 33,user33@example.com,3196.64,2025-07-06,Active
34,User 34,user34@example.com,855.14,2025-07-01,Active
35,User 35,user35@example.com,1087.06,2025-05-17,Active
36,User 36,user36@example.com,3524.01,2025-12-16,Active
37,User 37,user37@example.com,3257.78,2025-11-08,Active
38,User 38,user38@example.com,3193.14,2025-10-01,Active
39,User 39,user39@example.com,3659.18,2025-03-25,Active
40,User 40,user40@example.com,2338.19,2025-05-19,Active
41,User 41,user41@example.com,4948.14,2025-11-24,Active
42,User 42,user42@example.com,3456.4,2025-04-23,Active
43,User 43,user43@example.com,3438.84,2026-03-08,Active
44,User 44,user44@example.com,3853.15,2025-01-29,Active
45,User 45,user45@example.com,1183.79,2025-01-17,Active
46,User 46,user46@example.com,4034.98,2025-07-25,Active
47,User 47,user47@example.com,1375.32,2025-04-19,Active
48,User 48,user48@example.com,4570.02,2025-10-18,Active
49,User 49,user49@example.com,4388.02,2025-06-11,Active
50,User 50,user50@example.com,1102.5,2025-09-13,Active
51,User 51,user51@example.com,2008.38,2025-11-26,Active
52,User 52,user52@example.com,2321.32,2025-05-16,Active
53,User 53,user53@example.com,741.17,2026-01-17,Active
54,User 54,user54@example.com,2828.77,2025-05-15,Active
55,User 55,user55@example.com,3747.72,2025-08-08,Active
56,User 56,user56@example.com,4494.22,2025-07-24,Active
57,User 57,user57@example.com,1841.88,2025-03-12,Active
58,User 58,user58@example.com,2572.16,2025-02-16,Active
59,User 59,user59@example.com,3791.12,2026-03-17,Active
60,User 60,user60@example.com,592.76,2025-11-18,Active
61,User 61,user61@example.com,841.91,2025-12-15,Active
62,User 62,user62@example.com,2139.69,2025-02-02,Active
63,User 63,user63@example.com,1954.6,2025-11-02,Active
64,User 64,user64@example.com,4980.8,2025-09-28,Active
65,User 65,user65@example.com,1294.5,2025-10-11,Active
66,User 66,user66@example.com,4310.86,2025-01-06,Active
67,User 67,user67@example.com,3417.4,2025-02-28,Active
68,User 68,user68@example.com,3424.47,2025-10-02,Active
69,User 69,user69@example.com,3766.85,2026-01-29,Active
70,User 70,user70@example.com,3222.76,2025-02-27,Active
71,User 71,user71@example.com,1502.83,2025-03-22,Active
72,User 72,user72@example.com,2295.93,2026-01-05,Active
73,User 73,user73@example.com,4385.47,2025-05-15,Active
74,User 74,user74@example.com,4860.85,2026-01-26,Active
75,User 75,user75@example.com,934.33,2025-02-24,Active
76,User 76,user76@example.com,4359.07,2025-06-02,Active
77,User 77,user77@example.com,4216.26,2025-09-17,Active
78,User 78,user78@example.com,3064.4,2025-03-20,Active
79,User 79,user79@example.com,1900.87,2025-03-24,Active
80,User 80,user80@example.com,2719.93,2026-02-03,Active
81,User 81,user81@example.com,4616.05,2025-01-01,Active
82,User 82,user82@example.com,3014.78,2025-09-08,Active
83,User 83,user83@example.com,146.41,2025-07-05,Active
84,User 84,user84@example.com,4399.67,2026-03-02,Active
85,User 85,user85@example.com,4043.54,2025-05-03,Active
86,User 86,user86@example.com,336.73,2026-03-26,Active
87,User 87,user87@example.com,2858.42,2025-02-10,Active
88,User 88,user88@example.com,473.98,2025-09-06,Active
89,User 89,user89@example.com,4089.32,2026-01-25,Active
90,User 90,user90@example.com,2686.9,2025-03-06,Active
91,User 91,user91@example.com,685.54,2025-09-01,Active
92,User 92,user92@example.com,4736.9,2025-03-26,Active
93,User 93,user93@example.com,1362.03,2026-03-23,Active
94,User 94,user94@example.com,3052.64,2025-04-19,Active
95,User 95,user95@example.com,4648.12,2026-01-22,Active
96,User 96,user96@example.com,3663.16,2025-04-13,Active
97,User 97,user97@example.com,3579.1,2025-07-24,Active
98,User 98,user98@example.com,4975.99,2025-11-29,Active
99,User 99,user99@example.com,1898.43,2025-09-22,Active
100,User 100,user100@example.com,2284.86,2025-05-07,Active
101,User 101,user101@example.com,1162.25,2025-06-23,Active
102,User 102,user102@example.com,154.12,2025-10-11,Active
103,User 103,user103@example.com,1189.07,2025-04-23,Active
104,User 104,user104@example.com,85.59,2025-12-29,Active
105,User 105,user105@example.com,3173.96,2025-04-28,Active
106,User 106,user106@example.com,383.63,2025-01-17,Active
107,User 107,user107@example.com,4305.2,2025-02-06,Active
108,User 108,user108@example.com,2595.07,2025-05-23,Active
109,User 109,user109@example.com,3361.44,2025-04-20,Active
110,User 110,user110@example.com,2719.21,2026-01-06,Active
111,User 111,user111@example.com,4680.8,2025-10-20,Active
112,User 112,user112@example.com,2902.25,2025-05-05,Active
113,User 113,user113@example.com,3933.87,2026-02-18,Active
114,User 114,user114@example.com,2064.95,2025-02-18,Active
115,User 115,user115@example.com,529.81,2025-08-09,Active
116,User 116,user116@example.com,1803.77,2025-07-30,Active
117,User 117,user117@example.com,2361.77,2026-01-09,Active
118,User 118,user118@example.com,318.15,2025-12-01,Active
119,User 119,user119@example.com,4921.62,2025-02-20,Active
120,User 120,user120@example.com,350.03,2026-01-08,Active
121,User 121,user121@example.com,1729.55,2026-03-18,Active
122,User 122,user122@example.com,590.88,2025-04-09,Active
123,User 123,user123@example.com,991.53,2025-08-18,Active
124,User 124,user124@example.com,743.9,2025-04-04,Active
125,User 125,user125@example.com,1428.8,2025-05-08,Active
126,User 126,user126@example.com,4378.71,2025-02-08,Active
127,User 127,user127@example.com,2243.5,2026-03-18,Active
128,User 128,user128@example.com,4287.04,2025-02-20,Active
129,User 129,user129@example.com,300.41,2025-10-04,Active
130,User 130,user130@example.com,4188.34,2025-02-17,Active
131,User 131,user131@example.com,4635.52,2026-03-11,Active
132,User 132,user132@example.com,1220.08,2025-07-28,Active
133,User 133,user133@example.com,2453.92,2025-04-20,Active
134,User 134,user134@example.com,4330.02,2025-01-31,Active
135,User 135,user135@example.com,864.95,2025-01-02,Active
136,User 136,user136@example.com,4927.28,2025-05-16,Active
137,User 137,user137@example.com,4636.26,2026-02-06,Active
138,User 138,user138@example.com,2302.29,2025-08-05,Active
139,User 139,user139@example.com,3498.13,2026-01-10,Active
140,User 140,user140@example.com,4977.34,2025-10-12,Active
141,User 141,user141@example.com,3326.26,2025-09-07,Active
142,User 142,user142@example.com,816.24,2025-06-01,Active
143,User 143,user143@example.com,1127.62,2025-01-30,Active
144,User 144,user144@example.com,2916.94,2025-10-05,Active
145,User 145,user145@example.com,351.74,2025-06-10,Active
146,User 146,user146@example.com,332.97,2025-10-27,Active
147,User 147,user147@example.com,2410.1,2026-03-13,Active
148,User 148,user148@example.com,2679.07,2025-01-30,Active
149,User 149,user149@example.com,4805.86,2025-02-11,Active
150,User 150,user150@example.com,4264.15,2025-02-05,Active
151,User 151,user151@example.com,2995.42,2025-12-12,Active
152,User 152,user152@example.com,4316.01,2025-07-26,Active
153,User 153,user153@example.com,643.44,2026-04-01,Active
154,User 154,user154@example.com,2869.89,2025-10-24,Active
155,User 155,user155@example.com,2992.87,2025-11-14,Active
156,User 156,user156@example.com,455.82,2025-12-03,Active
157,User 157,user157@example.com,2939.18,2025-09-25,Active
158,User 158,user158@example.com,1616.03,2025-05-14,Active
159,User 159,user159@example.com,1061.08,2026-01-02,Active
160,User 160,user160@example.com,1605.21,2025-05-16,Active
161,User 161,user161@example.com,2009.14,2025-12-10,Active
162,User 162,user162@example.com,3245.23,2025-08-23,Active
163,User 163,user163@example.com,1615.08,2026-01-20,Active
164,User 164,user164@example.com,4681.88,2025-01-05,Active
165,User 165,user165@example.com,2318.51,2025-10-16,Active
166,User 166,user166@example.com,4980.68,2025-02-07,Active
167,User 167,user167@example.com,2711.29,2025-09-17,Active
168,User 168,user168@example.com,1362.74,2025-06-28,Active
169,User 169,user169@example.com,4410.28,2026-03-27,Active
170,User 170,user170@example.com,1259.21,2025-05-26,Active
171,User 171,user171@example.com,830.85,2026-03-03,Active
172,User 172,user172@example.com,2738.93,2025-06-04,Active
173,User 173,user173@example.com,3077.8,2026-02-18,Active
174,User 174,user174@example.com,3287.18,2025-01-05,Active
175,User 175,user175@example.com,3355.92,2025-10-11,Active
176,User 176,user176@example.com,1531.92,2025-12-06,Active
177,User 177,user177@example.com,562.75,2026-03-26,Active
178,User 178,user178@example.com,714.74,2025-03-01,Active
179,User 179,user179@example.com,4454.08,2026-01-16,Active
180,User 180,user180@example.com,2788.46,2025-05-20,Active
181,User 181,user181@example.com,1444.69,2025-04-18,Active
182,User 182,user182@example.com,3602.18,2025-04-15,Active
183,User 183,user183@example.com,3453.11,2026-03-13,Active
184,User 184,user184@example.com,1356.72,2025-09-08,Active
185,User 185,user185@example.com,1293.05,2026-03-10,Active
186,User 186,user186@example.com,301.45,2025-11-21,Active
187,User 187,user187@example.com,2146.7,2025-05-22,Active
188,User 188,user188@example.com,268.23,2025-06-20,Active
189,User 189,user189@example.com,3867.04,2025-11-23,Active
190,User 190,user190@example.com,4900.0,2025-03-24,Active
191,User 191,user191@example.com,3719.09,2025-10-10,Active
192,User 192,user192@example.com,3543.05,2025-10-15,Active
193,User 193,user193@example.com,97.87,2025-02-08,Active
194,User 194,user194@example.com,4728.0,2025-12-20,Active
195,User 195,user195@example.com,4524.45,2025-10-07,Active
196,User 196,user196@example.com,228.34,2025-07-09,Active
197,User 197,user197@example.com,2933.42,2025-03-17,Active
198,User 198,user198@example.com,2177.44,2025-01-22,Active
199,User 199,user199@example.com,1575.88,2026-02-12,Active
200,User 200,user200@example.com,4862.37,2025-01-21,Active
201,User 201,user201@example.com,4499.68,2025-04-18,Active
202,User 202,user202@example.com,3426.23,2025-12-08,Active
203,User 203,user203@example.com,558.83,2026-02-04,Active
204,User 204,user204@example.com,2821.42,2026-03-24,Active
205,User 205,user205@example.com,2061.57,2025-11-14,Active
206,User 206,user206@example.com,3759.91,2025-05-02,Active
207,User 207,user207@example.com,4329.8,2026-02-14,Active
208,User 208,user208@example.com,4063.32,2026-03-28,Active
209,User 209,user209@example.com,2090.86,2025-04-02,Active
210,User 210,user210@example.com,3695.99,2025-06-20,Active
211,User 211,user211@example.com,3922.81,2025-07-30,Active
212,User 212,user212@example.com,4021.06,2026-03-19,Active
213,User 213,user213@example.com,3688.53,2025-05-08,Active
214,User 214,user214@example.com,1370.69,2026-02-08,Active
215,User 215,user215@example.com,3521.33,2025-07-15,Active
216,User 216,user216@example.com,4367.23,2026-03-16,Active
217,User 217,user217@example.com,2379.92,2025-04-13,Active
218,User 218,user218@example.com,4092.1,2025-08-24,Active
219,User 219,user219@example.com,1780.81,2026-02-25,Active
220,User 220,user220@example.com,3986.96,2025-04-27,Active
221,User 221,user221@example.com,1153.47,2025-12-04,Active
222,User 222,user222@example.com,1005.99,2025-06-18,Active
223,User 223,user223@example.com,1429.09,2025-02-05,Active
224,User 224,user224@example.com,4836.1,2025-05-23,Active
225,User 225,user225@example.com,1788.17,2025-09-18,Active
226,User 226,user226@example.com,2028.41,2026-03-08,Active
227,User 227,user227@example.com,2704.27,2025-01-15,Active
228,User 228,user228@example.com,620.94,2025-05-14,Active
229,User 229,user229@example.com,933.91,2025-05-16,Active
230,User 230,user230@example.com,239.37,2025-11-02,Active
231,User 231,user231@example.com,2201.09,2026-01-09,Active
232,User 232,user232@example.com,3942.82,2025-08-12,Active
233,User 233,user233@example.com,3050.73,2025-09-19,Active
234,User 234,user234@example.com,622.45,2025-10-23,Active
235,User 235,user235@example.com,990.89,2025-01-23,Active
236,User 236,user236@example.com,3558.49,2025-01-01,Active
237,User 237,user237@example.com,2623.61,2026-02-17,Active
238,User 238,user238@example.com,2715.34,2026-01-04,Active
239,User 239,user239@example.com,4704.3,2026-01-13,Active
240,User 240,user240@example.com,3369.61,2025-07-06,Active
241,User 241,user241@example.com,2184.92,2025-12-07,Active
242,User 242,user242@example.com,4607.82,2025-11-16,Active
243,User 243,user243@example.com,1603.88,2026-03-11,Active
244,User 244,user244@example.com,666.9,2025-06-03,Active
245,User 245,user245@example.com,2560.26,2025-12-08,Active
246,User 246,user246@example.com,2071.54,2025-07-26,Active
247,User 247,user247@example.com,3501.18,2025-10-11,Active
248,User 248,user248@example.com,680.07,2025-08-04,Active
249,User 249,user249@example.com,3341.4,2025-07-14,Active
250,User 250,user250@example.com,3402.72,2025-03-31,Active
251,User 251,user251@example.com,3096.8,2025-06-04,Active
252,User 252,user252@example.com,2060.07,2026-03-03,Active
253,User 253,user253@example.com,52.01,2025-05-27,Active
254,User 254,user254@example.com,1090.4,2026-02-07,Active
255,User 255,user255@example.com,2920.92,2025-12-02,Active
256,User 256,user256@example.com,1645.13,2025-08-15,Active
257,User 257,user257@example.com,2238.69,2025-04-20,Active
258,User 258,user258@example.com,2580.31,2026-02-11,Active
259,User 259,user259@example.com,4510.85,2026-02-12,Active
260,User 260,user260@example.com,3693.01,2025-12-04,Active
261,User 261,user261@example.com,469.74,2025-09-21,Active
262,User 262,user262@example.com,3336.08,2025-11-14,Active
263,User 263,user263@example.com,1709.18,2026-02-24,Active
264,User 264,user264@example.com,4762.4,2025-05-01,Active
265,User 265,user265@example.com,3380.34,2025-04-26,Active
266,User 266,user266@example.com,4042.49,2025-03-17,Active
267,User 267,user267@example.com,170.91,2025-05-06,Active
268,User 268,user268@example.com,4920.48,2025-11-09,Active
269,User 269,user269@example.com,4256.2,2025-02-07,Active
270,User 270,user270@example.com,2304.31,2026-03-30,Active
271,User 271,user271@example.com,3167.34,2025-04-10,Active
272,User 272,user272@example.com,3605.81,2025-07-16,Active
273,User 273,user273@example.com,2497.17,2025-05-05,Active
274,User 274,user274@example.com,780.48,2025-12-19,Active
275,User 275,user275@example.com,77.45,2026-01-20,Active
276,User 276,user276@example.com,4309.18,2026-03-30,Active
277,User 277,user277@example.com,577.61,2025-08-06,Active
278,User 278,user278@example.com,1133.26,2026-02-16,Active
279,User 279,user279@example.com,4791.93,2025-09-23,Active
280,User 280,user280@example.com,2349.52,2025-10-13,Active
281,User 281,user281@example.com,1283.53,2026-03-11,Active
282,User 282,user282@example.com,650.73,2025-03-10,Active
283,User 283,user283@example.com,4017.01,2025-12-08,Active
284,User 284,user284@example.com,2679.1,2025-10-14,Active
285,User 285,user285@example.com,2997.49,2026-01-22,Active
286,User 286,user286@example.com,4462.56,2025-11-10,Active
287,User 287,user287@example.com,4084.28,2025-09-16,Active
288,User 288,user288@example.com,2162.37,2025-10-08,Active
289,User 289,user289@example.com,2257.27,2025-03-23,Active
290,User 290,user290@example.com,3731.09,2025-09-01,Active
291,User 291,user291@example.com,2277.85,2026-01-20,Active
292,User 292,user292@example.com,1273.84,2025-11-23,Active
293,User 293,user293@example.com,1422.69,2026-02-03,Active
294,User 294,user294@example.com,2630.43,2025-11-17,Active
295,User 295,user295@example.com,1234.27,2025-08-14,Active
296,User 296,user296@example.com,433.54,2025-05-27,Active
297,User 297,user297@example.com,1210.74,2025-06-21,Active
298,User 298,user298@example.com,1632.56,2025-10-04,Active
299,User 299,user299@example.com,448.86,2025-03-19,Active
300,User 300,user300@example.com,1194.74,2025-12-22,Active
301,User 301,user301@example.com,806.39,2025-04-20,Active
302,User 302,user302@example.com,367.93,2025-07-28,Active
303,User 303,user303@example.com,1687.86,2025-08-27,Active
304,User 304,user304@example.com,2108.08,2025-04-16,Active
305,User 305,user305@example.com,4172.81,2025-07-19,Active
306,User 306,user306@example.com,4528.95,2025-10-27,Active
307,User 307,user307@example.com,4733.01,2025-01-11,Active
308,User 308,user308@example.com,4290.82,2026-01-27,Active
309,User 309,user309@example.com,2899.67,2025-09-02,Active
310,User 310,user310@example.com,79.19,2025-06-30,Active
311,User 311,user311@example.com,1528.13,2025-07-19,Active
312,User 312,user312@example.com,4274.57,2026-03-04,Active
313,User 313,user313@example.com,2124.16,2026-01-18,Active
314,User 314,user314@example.com,3686.44,2026-02-14,Active
315,User 315,user315@example.com,3036.1,2025-04-23,Active
316,User 316,user316@example.com,2466.74,2025-05-20,Active
317,User 317,user317@example.com,2207.39,2025-01-15,Active
318,User 318,user318@example.com,1974.84,2025-12-09,Active
319,User 319,user319@example.com,3411.75,2025-07-27,Active
320,User 320,user320@example.com,3634.7,2026-03-07,Active
321,User 321,user321@example.com,2363.58,2025-03-07,Active
322,User 322,user322@example.com,4904.57,2025-10-01,Active
323,User 323,user323@example.com,183.48,2025-07-21,Active
324,User 324,user324@example.com,2979.87,2025-12-06,Active
325,User 325,user325@example.com,184.16,2025-11-26,Active
326,User 326,user326@example.com,2171.63,2026-03-20,Active
327,User 327,user327@example.com,2335.41,2025-01-26,Active
328,User 328,user328@example.com,1337.77,2025-06-17,Active
329,User 329,user329@example.com,1097.72,2025-06-17,Active
330,User 330,user330@example.com,1720.63,2026-03-27,Active
331,User 331,user331@example.com,1926.67,2026-01-21,Active
332,User 332,user332@example.com,4758.46,2025-08-04,Active
333,User 333,user333@example.com,1298.74,2025-02-11,Active
334,User 334,user334@example.com,2378.02,2026-01-19,Active
335,User 335,user335@example.com,2720.12,2025-06-29,Active
336,User 336,user336@example.com,1159.9,2025-02-05,Active
337,User 337,user337@example.com,3917.1,2025-11-30,Active
338,User 338,user338@example.com,249.28,2025-01-16,Active
339,User 339,user339@example.com,4750.58,2025-04-13,Active
340,User 340,user340@example.com,4204.18,2025-11-15,Active
341,User 341,user341@example.com,804.29,2025-03-06,Active
342,User 342,user342@example.com,2394.13,2025-02-28,Active
343,User 343,user343@example.com,2841.65,2025-04-22,Active
344,User 344,user344@example.com,2351.92,2025-05-12,Active
345,User 345,user345@example.com,3846.15,2025-03-27,Active
346,User 346,user346@example.com,3049.17,2026-01-18,Active
347,User 347,user347@example.com,3605.87,2026-02-03,Active
348,User 348,user348@example.com,4105.54,2025-06-09,Active
349,User 349,user349@example.com,585.09,2025-01-14,Active
